A;B
superman;integro
superman;etica
superman;empatia
superman;lider
superman;habilidade de comunicar
superman;autocontrole
superman;colaborativo
superman;resoluto
superman;resiliencia
mulher maravilha;coragem
mulher maravilha;determinado
mulher maravilha;empatia
mulher maravilha;lider
mulher maravilha;adaptabilidade
mulher maravilha;resiliencia
mulher maravilha;trabalho em equipe
mulher maravilha;habilidade de comunicar
homem de ferro;criatividade
homem de ferro;autoconfiante
homem de ferro;habilidade de comunicar
homem de ferro;lider
homem de ferro;resoluto
homem de ferro;adaptabilidade
homem de ferro;empreendedor
professor xavier;empatia
professor xavier;habilidade de comunicar
professor xavier;lider
professor xavier;habilidade de comunicar
professor xavier;respeito
professor xavier;paciencia
professor xavier;tomada de decisao
professor xavier;etica
professor xavier;coragem
professor xavier;determinado
professor xavier;trabalho em equipe
professor xavier;leal
professor xavier;adaptabilidade
professor xavier;integro
professor xavier;lider
