Profissoes do Futuro;Soft Skills;Area
Especialistas em IA e ML;habilidade de comunicar,trabalho em equipe,resoluto,adaptabilidade,empatia,etica,determinado,desprendimento,autenticidade,inovador;Automação e Mecatrônica,TI - Software,Gestão
Especialistas em Sustentabilidade;lider,colaborativo,tomada de decisao,resiliencia,tolerancia,adaptabilidade,empatia,etica,observador,organizado;Química,Energias Renováveis,Meio ambiente,Energia GTD,Mineração
Analistas de BI;resoluto,trabalho em equipe,colaborativo,etica,adaptabilidade,paciencia,carisma,critico,meticuloso,tomada de decisao;Gestão,TI - Software,Logística,Alimentos e bebidas,Gráfica e Mídias Impressas e Digitais,Madeira e mobiliário
Analistas de Segurança da Informação;trabalho em equipe,colaborativo,conformidade,resoluto,resistencia,autenticidade,etica,observador,autocontrole,empreendedor;TI - Software,TI - Hardware
Engenheiro de Fintech;habilidade de comunicar,adaptabilidade,resoluto,etica,inovador,desprendimento,autocontrole,confiante,persistencia,negociador;Automação e Mecatrônica,Energia GTD,Metalmecânica - Soldagem,Metalmecânica - Mecânica,Eletroeletrônica,Construção Civil - Construção Pesada,Automotiva,Construção Civil - Edificações,Mineração,Metalmecânica - Fabricação Mecânica,Telecomunicações,Metalmecânica - Metalurgia,Construção Civil - Instalações,Celulose e papel,Audiovisual e Animação Digital,Cerâmica e afins,Polímeros,Transporte Ferroviário
Analistas e Cientistas de Dados;inovador,trabalho em equipe,resoluto,critico,etica,produtividade,criatividade,curiosidade,habilidade de comunicar,empreendedor;Gestão,TI - Software
Engenharia Robótica;inovador,trabalho em equipe,habilidade de comunicar,resoluto,persistencia,etica,adaptabilidade,autenticidade,foco,disciplina;Automação e Mecatrônica,Eletroeletrônica,TI - Software
Especialista em Transformação Digital;habilidade de comunicar,lider,inovador,disciplina,analitico,determinado,resiliencia,colaborativo,curiosidade,etica;Gestão,Construção Civil - Construção Pesada,Construção Civil - Edificações
Especialista em IoT;analitico,habilidade de comunicar,inovador,etica,trabalho em equipe,estrategico,tolerancia,adaptabilidade,resiliencia,criatividade;Eletroeletrônica,Telecomunicações,TI - Software,TI - Hardware
Especialista de Computação em Nuvem;habilidade de comunicar,colaborativo,resoluto,aprendiz,conformidade,etica,resistencia,autenticidade,independencia,paciencia;TI - Software
Especialista em Marketing;habilidade de comunicar,criatividade,trabalho em equipe,persuasivo,autenticidade,disciplina,determinado,colaborativo,confiante,respeito;Gestão,Têxtil e vestuário,Vestuário,Automotiva,Alimentos e bebidas,Gráfica e Mídias Impressas e Digitais,Madeira e mobiliário,Celulose e papel,Audiovisual e Animação Digital,Cerâmica e afins,Polímeros,Têxtil
Especialista em Segurança do Trabalho;habilidade de comunicar,trabalho em equipe,resoluto,adaptabilidade,empatia,meticuloso,tomada de decisao,inovador;Segurança do Trabalho
